Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.814,0.0,5.076,0.01,0.051
0.824,0.0,5.076,0.01,0.051
0.833,0.0,5.072,0.01,0.051
0.841,0.0,5.072,0.01,0.051
0.85,0.0,5.076,0.01,0.051
0.858,0.0,5.076,0.012,0.061
0.867,0.0,5.076,0.013,0.066
0.875,0.0,5.076,0.014,0.071
0.884,0.0,5.076,0.012,0.061
0.894,0.0,5.076,0.011,0.056
0.903,0.0,5.076,0.01,0.051
0.912,0.0,5.072,0.0,0.0
0.921,0.0,5.076,0.011,0.056
0.929,0.0,5.076,0.011,0.056
0.937,0.0,5.076,0.011,0.056
0.945,0.0,5.076,0.011,0.056
0.954,0.0,5.076,0.011,0.056
0.962,0.0,5.076,0.011,0.056
0.971,0.0,5.076,0.01,0.051
0.979,0.0,5.076,0.011,0.056
0.988,0.0,5.072,0.094,0.477
0.997,0.0,5.072,0.102,0.517
1.006,0.0,5.068,0.102,0.517
1.015,0.0,5.072,0.102,0.517
1.023,0.0,5.068,0.102,0.517
1.032,0.0,5.076,0.102,0.518
1.041,0.0,5.072,0.102,0.517
1.049,0.0,5.072,0.103,0.522
1.057,0.0,5.072,0.102,0.517
1.066,0.0,5.072,0.102,0.517
1.074,0.0,5.072,0.102,0.517
1.082,0.0,5.076,0.101,0.513
1.091,0.0,5.072,0.102,0.517
1.1,0.0,5.072,0.103,0.522
1.108,0.0,5.072,0.102,0.517
1.117,0.0,5.068,0.104,0.527
1.127,0.0,5.076,0.103,0.523
1.136,0.0,5.072,0.103,0.522
1.145,0.0,5.072,0.055,0.279
1.153,16.0,5.072,0.074,0.375
1.162,14.0,5.072,0.08,0.406
1.172,11.0,5.072,0.103,0.522
1.181,8.0,5.072,0.102,0.517
1.189,5.0,5.072,0.103,0.522
1.2,2.0,5.072,0.103,0.522
1.208,0.0,5.072,0.101,0.512
1.217,0.0,5.072,0.101,0.512
1.226,0.0,5.072,0.102,0.517
1.235,0.0,5.076,0.102,0.518
1.244,0.0,5.072,0.102,0.517
1.252,0.0,5.072,0.102,0.517
1.26,0.0,5.072,0.101,0.512
1.269,0.0,5.072,0.102,0.517
1.277,0.0,5.072,0.102,0.517
1.286,0.0,5.076,0.103,0.523
1.294,0.0,5.072,0.101,0.512
1.303,0.0,5.072,0.103,0.522
1.312,0.0,5.072,0.102,0.517
1.321,0.0,5.068,0.1,0.507
1.329,0.0,5.072,0.08,0.406
1.338,0.0,5.072,0.056,0.284
1.347,0.0,5.072,0.079,0.401
1.355,0.0,5.068,0.101,0.512
1.364,0.0,9.1,0.111,1.01
1.372,2.0,9.1,0.133,1.21
1.426,4.0,9.096,0.205,1.865
1.435,6.0,9.1,0.204,1.856
1.443,9.0,9.1,0.186,1.693
1.452,11.0,9.1,0.201,1.829
1.46,13.0,9.096,0.204,1.856
1.469,15.0,9.1,0.194,1.765
1.477,17.0,9.096,0.204,1.856
1.487,19.0,9.1,0.208,1.893
1.495,21.0,9.096,0.231,2.101
1.503,23.0,9.1,0.203,1.847
1.512,25.0,9.096,0.228,2.074
1.52,27.0,9.1,0.195,1.774
1.529,29.0,9.1,0.189,1.72
1.537,30.0,9.096,0.21,1.91
1.546,32.0,9.1,0.212,1.929
1.555,34.0,9.1,0.229,2.084
1.563,35.0,9.1,0.179,1.629
1.572,37.0,9.096,0.228,2.074
1.581,38.0,9.1,0.192,1.747
1.59,40.0,9.096,0.229,2.083
1.599,41.0,9.096,0.22,2.001
1.608,42.0,9.096,0.229,2.083
1.616,44.0,9.1,0.207,1.884
1.625,45.0,9.096,0.231,2.101
1.633,46.0,9.1,0.207,1.884
1.641,47.0,9.096,0.228,2.074
1.65,48.0,9.096,0.219,1.992
1.658,49.0,9.1,0.229,2.084
1.667,50.0,9.1,0.227,2.066
1.676,51.0,9.096,0.229,2.083
1.684,52.0,9.096,0.221,2.01
1.692,53.0,9.096,0.229,2.083
1.701,54.0,9.096,0.229,2.083
1.71,54.0,9.1,0.251,2.284
1.719,55.0,9.096,0.243,2.21
1.727,56.0,9.096,0.241,2.192
1.736,56.0,9.1,0.211,1.92
1.745,57.0,9.1,0.181,1.647
1.754,57.0,9.096,0.251,2.283
1.762,58.0,9.1,0.189,1.72
1.771,58.0,9.096,0.25,2.274
1.779,59.0,9.1,0.164,1.492
1.788,59.0,9.096,0.25,2.274
1.796,59.0,9.096,0.161,1.464
1.805,59.0,9.096,0.25,2.274
1.814,60.0,9.1,0.216,1.966
1.827,60.0,9.1,0.206,1.875
1.837,60.0,9.096,0.251,2.283
1.846,60.0,9.1,0.193,1.756
1.854,60.0,9.096,0.252,2.292
1.862,60.0,9.1,0.174,1.583
1.871,60.0,9.096,0.234,2.128
1.879,59.0,9.096,0.191,1.737
1.888,59.0,9.1,0.252,2.293
1.897,59.0,9.096,0.201,1.828
1.905,59.0,9.096,0.255,2.319
1.914,58.0,9.1,0.21,1.911
1.922,58.0,9.096,0.251,2.283
1.931,57.0,9.096,0.221,2.01
1.94,57.0,9.096,0.252,2.292
1.948,56.0,9.096,0.251,2.283
1.957,56.0,9.096,0.251,2.283
1.965,55.0,9.1,0.237,2.157
1.974,54.0,9.096,0.25,2.274
1.983,54.0,9.1,0.25,2.275
1.992,53.0,9.096,0.25,2.274
2.0,52.0,9.096,0.252,2.292
2.009,51.0,9.096,0.25,2.274
2.018,50.0,9.1,0.253,2.302
2.026,49.0,9.096,0.201,1.828
2.035,48.0,9.1,0.251,2.284
2.044,47.0,9.096,0.275,2.501
2.052,46.0,9.096,0.299,2.72
2.061,45.0,9.096,0.316,2.874
2.069,44.0,9.096,0.323,2.938
2.078,42.0,9.096,0.344,3.129
2.086,41.0,9.096,0.37,3.366
2.095,40.0,9.096,0.393,3.575
2.103,38.0,9.096,0.392,3.566
2.111,37.0,9.096,0.416,3.784
2.12,35.0,9.096,0.435,3.957
2.128,34.0,9.092,0.46,4.182
2.137,32.0,9.092,0.484,4.401
2.145,30.0,9.092,0.484,4.401
2.154,29.0,9.088,0.511,4.644
2.163,27.0,9.088,0.534,4.853
2.173,25.0,9.088,0.558,5.071
2.184,23.0,9.088,0.584,5.307
2.196,21.0,9.088,0.607,5.516
2.208,19.0,9.088,0.63,5.725
2.22,17.0,9.084,0.655,5.95
2.232,15.0,9.084,0.679,6.168
2.244,13.0,9.084,0.702,6.377
2.255,11.0,9.084,0.727,6.604
2.267,9.0,9.084,0.753,6.84
2.276,6.0,9.084,0.777,7.058
2.285,4.0,9.084,0.802,7.285
2.294,2.0,9.084,0.825,7.494
