Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.907,0.0,5.072,0.0,0.0
0.918,0.0,5.072,0.01,0.051
0.93,0.0,5.072,0.01,0.051
0.94,0.0,5.072,0.01,0.051
0.951,0.0,5.072,0.01,0.051
0.963,0.0,5.076,0.01,0.051
0.973,0.0,5.076,0.0,0.0
0.984,0.0,5.076,0.0,0.0
0.996,0.0,5.072,0.0,0.0
1.007,0.0,5.076,0.01,0.051
1.017,0.0,5.076,0.01,0.051
1.029,0.0,5.076,0.0,0.0
1.04,0.0,5.072,0.01,0.051
1.051,0.0,5.072,0.01,0.051
1.063,0.0,5.076,0.0,0.0
1.075,0.0,5.076,0.01,0.051
1.086,0.0,5.076,0.0,0.0
1.097,0.0,5.076,0.01,0.051
1.108,0.0,5.072,0.0,0.0
1.118,0.0,5.076,0.012,0.061
1.128,0.0,5.076,0.0,0.0
1.139,0.0,5.076,0.0,0.0
1.15,0.0,5.076,0.011,0.056
1.16,0.0,5.076,0.0,0.0
1.171,71.0,5.072,0.0,0.0
1.182,70.0,5.076,0.01,0.051
1.193,70.0,5.072,0.01,0.051
1.205,69.0,5.076,0.01,0.051
1.216,68.0,5.072,0.0,0.0
1.227,67.0,5.072,0.01,0.051
1.239,66.0,5.072,0.01,0.051
1.251,65.0,5.072,0.0,0.0
1.262,64.0,5.076,0.01,0.051
1.274,63.0,5.072,0.01,0.051
1.286,62.0,5.072,0.087,0.441
1.297,61.0,5.072,0.067,0.34
1.308,60.0,5.072,0.066,0.335
1.321,58.0,5.072,0.09,0.456
1.332,57.0,5.072,0.089,0.451
1.4,55.0,5.068,0.137,0.694
1.411,54.0,5.072,0.137,0.695
1.422,52.0,5.072,0.16,0.812
1.434,51.0,5.072,0.161,0.817
1.446,49.0,5.068,0.159,0.806
1.458,47.0,5.068,0.184,0.933
1.469,45.0,5.068,0.183,0.927
1.48,43.0,5.072,0.184,0.933
1.492,42.0,5.068,0.206,1.044
1.503,40.0,5.068,0.206,1.044
1.514,37.0,5.072,0.206,1.045
1.527,35.0,5.068,0.231,1.171
1.538,33.0,5.068,0.231,1.171
1.549,31.0,5.068,0.234,1.186
1.562,29.0,5.064,0.251,1.271
1.573,26.0,5.068,0.253,1.282
1.584,24.0,5.068,0.276,1.399
1.596,21.0,5.064,0.276,1.398
1.608,19.0,5.068,0.276,1.399
1.619,16.0,5.064,0.301,1.524
1.631,14.0,5.064,0.3,1.519
1.643,11.0,5.068,0.3,1.52
1.653,8.0,5.064,0.324,1.641
1.665,5.0,5.068,0.325,1.647
1.677,2.0,5.064,0.324,1.641
1.688,0.0,5.064,0.347,1.757
1.699,0.0,5.064,0.347,1.757
1.709,0.0,5.064,0.348,1.762
1.719,0.0,5.06,0.37,1.872
1.73,0.0,5.064,0.37,1.874
1.741,0.0,5.06,0.371,1.877
1.751,0.0,5.064,0.372,1.884
1.761,0.0,5.06,0.37,1.872
1.773,0.0,5.064,0.394,1.995
1.783,0.0,5.06,0.394,1.994
1.794,0.0,5.06,0.395,1.999
1.806,0.0,5.06,0.394,1.994
1.818,0.0,5.06,0.393,1.989
1.829,0.0,5.06,0.393,1.989
1.841,0.0,5.064,0.393,1.99
1.853,0.0,5.064,0.416,2.107
1.864,0.0,5.06,0.417,2.11
1.875,0.0,5.064,0.384,1.945
1.887,0.0,5.06,0.414,2.095
1.898,0.0,5.06,0.379,1.918
1.91,0.0,5.064,0.349,1.767
1.922,0.0,5.068,0.283,1.434
1.935,0.0,5.064,0.417,2.112
1.947,0.0,5.06,0.417,2.11
1.959,0.0,5.06,0.44,2.226
1.97,0.0,5.06,0.438,2.216
1.988,0.0,5.06,0.441,2.231
1.999,0.0,5.056,0.463,2.341
2.016,0.0,5.06,0.465,2.353
2.027,0.0,5.06,0.487,2.464
2.039,0.0,5.06,0.488,2.469
2.049,0.0,5.06,0.486,2.459
2.061,0.0,5.056,0.51,2.579
2.072,0.0,5.056,0.511,2.584
2.085,0.0,5.056,0.51,2.579
2.097,0.0,5.06,0.534,2.702
2.108,0.0,5.056,0.535,2.705
2.119,0.0,5.06,0.533,2.697
2.13,0.0,5.056,0.559,2.826
2.141,0.0,5.056,0.556,2.811
2.152,0.0,5.056,0.558,2.821
2.163,0.0,5.056,0.58,2.932
2.175,0.0,5.056,0.579,2.927
2.186,0.0,5.052,0.581,2.935
2.196,0.0,5.056,0.603,3.049
2.206,0.0,5.056,0.602,3.044
2.217,0.0,5.056,0.604,3.054
2.226,0.0,5.056,0.628,3.175
2.237,0.0,5.056,0.628,3.175
2.249,0.0,5.056,0.627,3.17
2.265,0.0,5.056,0.65,3.286
2.278,0.0,5.056,0.651,3.291
2.289,0.0,5.056,0.673,3.403
2.3,0.0,5.052,0.675,3.41
2.315,0.0,5.056,0.674,3.408
2.326,0.0,5.052,0.698,3.526
2.338,0.0,5.048,0.697,3.518
2.35,0.0,5.052,0.697,3.521
2.361,0.0,5.052,0.721,3.642
2.372,0.0,5.048,0.722,3.645
2.384,0.0,5.052,0.721,3.642
2.396,0.0,5.048,0.744,3.756
2.407,0.0,5.052,0.744,3.759
2.419,0.0,5.048,0.744,3.756
2.431,0.0,5.048,0.767,3.872
2.442,0.0,5.048,0.766,3.867
2.453,0.0,5.048,0.791,3.993
2.465,0.0,5.048,0.79,3.988
2.476,0.0,5.048,0.791,3.993
2.487,0.0,5.044,0.814,4.106
2.499,0.0,5.048,0.814,4.109
2.51,0.0,5.048,0.814,4.109
2.522,0.0,5.048,0.837,4.225
2.534,0.0,5.048,0.836,4.22
2.545,0.0,5.048,0.837,4.225
2.557,0.0,5.044,0.861,4.343
2.571,0.0,5.044,0.86,4.338
2.582,0.0,5.044,0.86,4.338
2.593,0.0,5.044,0.887,4.474
2.605,0.0,5.044,0.885,4.464
2.616,0.0,5.044,0.885,4.464
2.628,0.0,5.04,0.908,4.576
2.642,0.0,5.044,0.908,4.58
2.652,0.0,5.044,0.932,4.701
2.664,0.0,5.044,0.934,4.711
2.676,0.0,5.044,0.931,4.696
2.687,0.0,5.04,0.954,4.808
2.698,0.0,5.04,0.956,4.818
2.71,0.0,5.044,0.955,4.817
2.722,0.0,5.044,0.979,4.938
2.734,0.0,5.044,0.979,4.938
2.745,0.0,5.04,0.978,4.929
2.757,0.0,5.044,1.002,5.054
2.768,0.0,5.04,1.003,5.055
2.78,0.0,5.04,1.001,5.045
2.791,0.0,5.04,1.025,5.166
2.802,0.0,5.036,1.027,5.172
2.815,0.0,5.04,1.024,5.161
2.826,0.0,5.04,1.048,5.282
2.837,0.0,5.04,1.048,5.282
2.849,0.0,5.04,1.048,5.282
2.861,0.0,5.036,1.072,5.399
2.872,0.0,5.04,1.071,5.398
2.883,0.0,5.04,1.095,5.519
2.893,0.0,5.036,1.096,5.519
2.904,0.0,5.04,1.096,5.524
2.914,0.0,5.04,1.096,5.524
2.924,0.0,5.036,1.118,5.63
2.934,0.0,5.036,1.121,5.645
2.945,0.0,5.036,1.121,5.645
2.954,0.0,5.036,1.142,5.751
2.964,0.0,5.04,1.143,5.761
2.976,0.0,5.036,1.144,5.761
2.987,0.0,5.036,1.164,5.862
2.998,0.0,5.036,1.166,5.872
3.01,0.0,5.036,1.165,5.867
3.022,0.0,5.032,1.191,5.993
3.033,0.0,5.036,1.189,5.988
3.045,0.0,5.032,1.19,5.988
3.057,0.0,5.032,1.213,6.104
3.068,0.0,5.036,1.213,6.109
3.08,0.0,5.032,1.213,6.104
3.092,0.0,5.036,1.238,6.235
3.103,0.0,5.032,1.237,6.225
3.115,0.0,5.032,1.242,6.25
3.127,0.0,5.032,1.261,6.345
3.138,0.0,5.032,1.26,6.34
3.15,0.0,5.032,1.286,6.471
3.162,0.0,5.032,1.285,6.466
3.176,0.0,5.032,1.284,6.461
3.188,0.0,5.028,1.309,6.582
3.2,0.0,5.032,1.309,6.587
3.211,0.0,5.028,1.308,6.577
3.223,0.0,5.032,1.33,6.693
3.235,0.0,5.032,1.331,6.698
3.248,0.0,5.028,1.357,6.823
3.26,0.0,5.028,1.356,6.818
3.271,0.0,5.028,1.356,6.818
3.282,0.0,5.028,1.379,6.934
3.293,0.0,5.028,1.379,6.934
3.305,0.0,5.028,1.379,6.934
3.316,0.0,5.028,1.404,7.059
3.327,0.0,5.028,1.403,7.054
3.339,0.0,5.028,1.403,7.054
3.35,0.0,5.028,1.427,7.175
3.363,0.0,5.024,1.427,7.169
3.375,0.0,5.024,1.426,7.164
3.386,0.0,5.024,1.451,7.29
3.398,0.0,5.024,1.449,7.28
3.41,0.0,5.024,1.45,7.285
3.422,0.0,5.024,1.474,7.405
3.435,0.0,5.028,1.474,7.411
3.446,0.0,5.02,1.475,7.404
3.455,0.0,5.024,1.496,7.516
3.465,0.0,5.024,1.495,7.511
3.476,0.0,5.024,1.497,7.521
3.486,0.0,5.024,1.52,7.636
3.496,0.0,5.02,1.52,7.63
3.506,0.0,5.02,1.522,7.64
3.517,0.0,5.02,1.546,7.761
3.527,0.0,5.02,1.545,7.756
3.537,0.0,5.024,1.545,7.762
3.548,0.0,5.02,1.566,7.861
3.558,0.0,5.02,1.568,7.871
3.567,0.0,5.02,1.568,7.871
3.578,0.0,5.02,1.568,7.871
3.588,0.0,5.024,1.592,7.998
3.599,0.0,5.02,1.593,7.997
3.61,0.0,5.02,1.592,7.992
3.621,0.0,5.02,1.616,8.112
3.632,0.0,5.024,1.614,8.109
3.643,0.0,5.02,1.614,8.102
3.655,0.0,5.02,1.638,8.223
3.666,0.0,5.02,1.639,8.228
3.677,0.0,5.02,1.637,8.218
3.688,0.0,5.012,1.662,8.33
3.699,0.0,5.016,1.661,8.332
3.71,0.0,5.016,1.663,8.342
3.721,0.0,5.016,1.684,8.447
3.733,0.0,5.02,1.685,8.459
3.744,0.0,5.016,1.686,8.457
3.754,0.0,5.016,1.708,8.567
3.766,0.0,5.02,1.709,8.579
3.778,0.0,5.016,1.709,8.572
3.789,0.0,5.012,1.732,8.681
3.801,0.0,5.016,1.733,8.693
3.812,0.0,5.016,1.756,8.808
3.823,0.0,5.016,1.756,8.808
3.835,0.0,5.016,1.756,8.808
3.847,0.0,5.016,1.78,8.928
3.858,0.0,5.012,1.78,8.921
3.869,0.0,5.012,1.78,8.921
3.881,0.0,5.016,1.805,9.054
3.892,0.0,5.012,1.803,9.037
3.903,0.0,5.012,1.805,9.047
3.914,0.0,5.012,1.828,9.162
3.924,0.0,5.016,1.826,9.159
3.935,0.0,5.012,1.828,9.162
3.947,0.0,5.008,1.852,9.275
3.957,0.0,5.008,1.852,9.275
3.967,0.0,5.012,1.85,9.272
3.979,0.0,5.008,1.853,9.28
3.989,0.0,5.012,1.853,9.287
4.0,0.0,5.012,1.852,9.282
4.012,0.0,5.012,1.828,9.162
4.024,0.0,5.012,1.827,9.157
4.036,0.0,5.008,1.827,9.15
4.048,0.0,5.012,1.804,9.042
4.06,0.0,5.012,1.805,9.047
4.071,0.0,5.012,1.803,9.037
4.084,0.0,5.016,1.779,8.923
4.095,0.0,5.016,1.78,8.928
4.106,0.0,5.012,1.779,8.916
4.117,0.0,5.016,1.756,8.808
4.127,0.0,5.016,1.756,8.808
4.137,0.0,5.016,1.756,8.808
4.147,0.0,5.016,1.732,8.688
4.158,0.0,5.016,1.732,8.688
4.168,0.0,5.016,1.733,8.693
4.178,0.0,5.02,1.709,8.579
4.188,0.0,5.016,1.707,8.562
4.199,0.0,5.016,1.707,8.562
4.209,0.0,5.016,1.694,8.497
4.219,0.0,5.02,1.684,8.454
4.23,0.0,5.016,1.685,8.452
4.24,0.0,5.02,1.686,8.464
4.25,0.0,5.02,1.662,8.343
4.26,0.0,5.02,1.659,8.328
4.271,0.0,5.02,1.662,8.343
4.281,0.0,5.016,1.638,8.216
4.291,0.0,5.016,1.638,8.216
4.302,0.0,5.02,1.639,8.228
4.312,0.0,5.02,1.615,8.107
4.322,0.0,5.02,1.614,8.102
4.332,0.0,5.02,1.613,8.097
4.343,0.0,5.02,1.59,7.982
4.354,0.0,5.02,1.59,7.982
4.364,0.0,5.02,1.592,7.992
4.374,0.0,5.02,1.591,7.987
4.384,0.0,5.02,1.569,7.876
4.394,0.0,5.02,1.569,7.876
4.406,0.0,5.02,1.567,7.866
4.417,0.0,5.024,1.544,7.757
4.428,0.0,5.024,1.545,7.762
4.439,0.0,5.02,1.545,7.756
4.451,0.0,5.02,1.52,7.63
4.462,0.0,5.024,1.52,7.636
4.474,0.0,5.024,1.523,7.652
4.486,0.0,5.024,1.497,7.521
4.497,0.0,5.024,1.498,7.526
4.507,0.0,5.02,1.498,7.52
4.519,0.0,5.024,1.474,7.405
4.529,0.0,5.024,1.474,7.405
4.539,0.0,5.02,1.474,7.399
4.551,0.0,5.024,1.451,7.29
4.561,0.0,5.028,1.45,7.291
4.571,0.0,5.028,1.451,7.296
4.582,0.0,5.028,1.426,7.17
4.593,0.0,5.024,1.426,7.164
4.604,0.0,5.028,1.427,7.175
4.616,0.0,5.024,1.404,7.054
4.628,0.0,5.028,1.403,7.054
4.639,0.0,5.028,1.402,7.049
4.651,0.0,5.032,1.38,6.944
4.663,0.0,5.028,1.378,6.929
4.674,0.0,5.024,1.363,6.848
4.685,0.0,5.028,1.356,6.818
4.697,0.0,5.028,1.356,6.818
4.708,0.0,5.028,1.333,6.702
4.719,0.0,5.028,1.332,6.697
4.73,0.0,5.032,1.332,6.703
4.742,0.0,5.032,1.308,6.582
4.752,0.0,5.028,1.31,6.587
4.764,0.0,5.028,1.305,6.562
4.775,0.0,5.032,1.309,6.587
4.786,0.0,5.028,1.307,6.572
4.797,0.0,5.028,1.307,6.572
4.809,0.0,5.028,1.309,6.582
4.819,0.0,5.032,1.309,6.587
4.83,0.0,5.028,1.309,6.582
4.843,0.0,5.032,1.308,6.582
4.854,0.0,5.032,1.309,6.587
4.865,0.0,5.032,1.308,6.582
4.877,0.0,5.028,1.307,6.572
4.888,0.0,5.028,1.309,6.582
4.899,0.0,5.032,1.308,6.582
4.912,0.0,5.028,1.308,6.577
4.923,0.0,5.036,1.308,6.587
4.934,0.0,5.032,1.306,6.572
4.948,0.0,5.028,1.308,6.577
4.959,0.0,5.032,1.308,6.582
4.97,0.0,5.032,1.309,6.587
4.981,0.0,5.032,1.307,6.577
4.992,0.0,5.032,1.309,6.587
5.004,0.0,5.032,1.308,6.582
5.016,0.0,5.028,1.307,6.572
5.027,0.0,5.032,1.308,6.582
5.038,0.0,5.028,1.308,6.577
5.05,0.0,5.032,1.309,6.587
5.062,0.0,5.032,1.306,6.572
5.073,0.0,5.028,1.308,6.577
5.085,0.0,5.028,1.308,6.577
5.097,0.0,5.028,1.307,6.572
5.107,0.0,5.032,1.308,6.582
5.118,0.0,5.028,1.309,6.582
5.129,0.0,5.028,1.308,6.577
5.139,0.0,5.032,1.307,6.577
5.15,0.0,5.032,1.307,6.577
5.161,0.0,5.028,1.308,6.577
5.171,0.0,5.028,1.308,6.577
5.181,0.0,5.028,1.308,6.577
5.192,0.0,5.032,1.309,6.587
5.204,0.0,5.028,1.307,6.572
5.215,0.0,5.028,1.308,6.577
5.226,0.0,5.032,1.307,6.577
5.238,0.0,5.032,1.308,6.582
5.249,0.0,5.028,1.309,6.582
5.261,0.0,5.028,1.308,6.577
5.273,0.0,5.032,1.308,6.582
5.284,0.0,5.032,1.308,6.582
5.295,0.0,5.028,1.307,6.572
5.307,0.0,5.032,1.309,6.587
5.319,0.0,5.028,1.308,6.577
5.33,0.0,5.028,1.307,6.572
5.342,0.0,5.028,1.308,6.577
5.353,0.0,5.032,1.307,6.577
5.364,0.0,5.028,1.308,6.577
5.377,0.0,5.028,1.309,6.582
5.388,0.0,5.032,1.309,6.587
5.399,0.0,5.032,1.308,6.582
5.411,0.0,5.028,1.307,6.572
5.423,0.0,5.028,1.309,6.582
5.434,0.0,5.028,1.307,6.572
5.446,0.0,5.028,1.308,6.577
5.457,0.0,5.028,1.307,6.572
5.468,0.0,5.028,1.309,6.582
5.48,0.0,5.028,1.308,6.577
5.492,0.0,5.028,1.307,6.572
5.503,0.0,5.028,1.307,6.572
5.515,0.0,5.028,1.309,6.582
5.526,0.0,5.032,1.307,6.577
5.537,0.0,5.028,1.307,6.572
5.551,0.0,5.032,1.308,6.582
5.563,0.0,5.032,1.308,6.582
5.574,0.0,5.028,1.308,6.577
5.586,0.0,5.028,1.306,6.567
5.598,0.0,5.032,1.308,6.582
5.609,0.0,5.028,1.308,6.577
5.621,0.0,5.028,1.308,6.577
5.633,0.0,5.032,1.308,6.582
5.644,0.0,5.032,1.305,6.567
5.656,0.0,5.032,1.308,6.582
5.668,0.0,5.028,1.307,6.572
5.679,0.0,5.028,1.306,6.567
5.69,0.0,5.032,1.308,6.582
5.702,0.0,5.028,1.306,6.567
5.713,0.0,5.028,1.308,6.577
5.725,0.0,5.028,1.306,6.567
5.737,0.0,5.032,1.308,6.582
5.748,0.0,5.032,1.308,6.582
5.759,0.0,5.032,1.308,6.582
5.77,0.0,5.028,1.308,6.577
5.782,0.0,5.032,1.307,6.577
5.794,0.0,5.032,1.308,6.582
5.805,0.0,5.028,1.308,6.577
5.817,0.0,5.032,1.307,6.577
5.828,0.0,5.032,1.306,6.572
5.84,0.0,5.032,1.306,6.572
5.851,0.0,5.024,1.308,6.571
5.863,0.0,5.028,1.308,6.577
5.874,0.0,5.032,1.306,6.572
5.886,0.0,5.032,1.308,6.582
5.898,0.0,5.028,1.307,6.572
5.908,0.0,5.032,1.307,6.577
5.919,0.0,5.032,1.307,6.577
5.93,0.0,5.032,1.307,6.577
5.94,0.0,5.028,1.307,6.572
5.95,0.0,5.028,1.309,6.582
5.962,0.0,5.028,1.308,6.577
5.972,0.0,5.028,1.306,6.567
5.982,0.0,5.032,1.306,6.572
5.994,0.0,5.032,1.307,6.577
6.005,0.0,5.028,1.307,6.572
6.016,0.0,5.028,1.308,6.577
6.027,0.0,5.028,1.308,6.577
6.039,0.0,5.028,1.305,6.562
6.05,0.0,5.032,1.307,6.577
6.061,0.0,5.032,1.308,6.582
6.073,0.0,5.032,1.306,6.572
6.087,0.0,5.028,1.307,6.572
6.098,0.0,5.032,1.308,6.582
6.11,0.0,5.032,1.308,6.582
6.122,0.0,5.032,1.306,6.572
6.133,0.0,5.028,1.306,6.567
6.145,0.0,5.032,1.308,6.582
6.156,0.0,5.028,1.308,6.577
6.169,0.0,5.028,1.309,6.582
6.181,0.0,5.032,1.307,6.577
6.193,0.0,5.032,1.307,6.577
6.204,0.0,5.028,1.308,6.577
6.216,0.0,5.028,1.308,6.577
6.227,0.0,5.032,1.308,6.582
6.239,0.0,5.028,1.307,6.572
6.251,0.0,5.032,1.307,6.577
6.262,0.0,5.028,1.307,6.572
6.273,0.0,5.028,1.307,6.572
6.285,0.0,5.032,1.308,6.582
6.296,0.0,5.032,1.308,6.582
6.307,0.0,5.028,1.308,6.577
6.318,0.0,5.028,1.307,6.572
6.33,0.0,5.028,1.307,6.572
6.341,0.0,5.028,1.307,6.572
6.351,0.0,5.032,1.308,6.582
6.363,0.0,5.028,1.308,6.577
6.374,0.0,5.032,1.308,6.582
6.386,0.0,5.028,1.307,6.572
6.399,0.0,5.028,1.305,6.562
6.411,0.0,5.028,1.309,6.582
6.424,0.0,5.028,1.308,6.577
6.435,0.0,5.032,1.307,6.577
6.446,0.0,5.032,1.307,6.577
6.456,0.0,5.028,1.308,6.577
6.467,0.0,5.032,1.307,6.577
6.478,0.0,5.028,1.307,6.572
6.487,0.0,5.028,1.308,6.577
6.498,0.0,5.032,1.307,6.577
6.509,0.0,5.028,1.306,6.567
6.52,0.0,5.028,1.305,6.562
6.532,0.0,5.028,1.306,6.567
6.544,0.0,5.032,1.307,6.577
6.555,0.0,5.032,1.308,6.582
6.567,0.0,5.032,1.307,6.577
6.579,0.0,5.032,1.307,6.577
6.59,0.0,5.028,1.308,6.577
6.6,0.0,5.028,1.305,6.562
6.612,0.0,5.028,1.305,6.562
6.623,0.0,5.028,1.308,6.577
6.634,0.0,5.028,1.306,6.567
6.645,0.0,5.028,1.308,6.577
6.656,0.0,5.028,1.308,6.577
6.667,0.0,5.028,1.306,6.567
6.679,0.0,5.032,1.308,6.582
6.691,0.0,5.032,1.308,6.582
6.702,0.0,5.028,1.305,6.562
6.713,0.0,5.032,1.307,6.577
6.724,0.0,5.032,1.308,6.582
6.734,0.0,5.032,1.307,6.577
6.744,0.0,5.032,1.306,6.572
6.756,0.0,5.028,1.308,6.577
6.768,0.0,5.032,1.308,6.582
6.778,0.0,5.032,1.307,6.577
6.789,0.0,5.032,1.31,6.592
6.8,0.0,5.028,1.307,6.572
6.811,0.0,5.032,1.307,6.577
6.822,0.0,5.032,1.307,6.577
6.834,0.0,5.028,1.308,6.577
6.846,0.0,5.028,1.307,6.572
6.857,0.0,5.032,1.307,6.577
6.869,0.0,5.032,1.308,6.582
6.88,0.0,5.032,1.308,6.582
6.892,0.0,5.032,1.307,6.577
6.905,0.0,5.028,1.307,6.572
6.916,0.0,5.032,1.306,6.572
6.928,0.0,5.032,1.308,6.582
6.94,0.0,5.032,1.308,6.582
6.951,0.0,5.028,1.307,6.572
6.961,0.0,5.028,1.308,6.577
6.973,0.0,5.028,1.305,6.562
6.984,0.0,5.028,1.308,6.577
6.995,0.0,5.028,1.308,6.577
7.007,0.0,5.032,1.306,6.572
7.018,0.0,5.032,1.308,6.582
7.028,0.0,5.032,1.307,6.577
7.039,0.0,5.028,1.307,6.572
7.051,0.0,5.032,1.307,6.577
7.062,0.0,5.028,1.307,6.572
7.073,0.0,5.028,1.307,6.572
7.087,0.0,5.028,1.307,6.572
7.097,0.0,5.028,1.307,6.572
7.108,0.0,5.028,1.307,6.572
7.12,0.0,5.028,1.308,6.577
7.131,0.0,5.032,1.308,6.582
7.142,0.0,5.032,1.308,6.582
7.153,0.0,5.028,1.308,6.577
7.164,0.0,5.032,1.307,6.577
7.175,0.0,5.028,1.306,6.567
7.187,0.0,5.032,1.307,6.577
7.198,0.0,5.028,1.309,6.582
7.209,0.0,5.028,1.307,6.572
7.22,0.0,5.028,1.307,6.572
7.231,0.0,5.028,1.306,6.567
7.242,0.0,5.032,1.308,6.582
7.253,0.0,5.032,1.308,6.582
7.265,0.0,5.028,1.307,6.572
7.276,0.0,5.028,1.306,6.567
7.287,0.0,5.028,1.305,6.562
7.298,0.0,5.032,1.305,6.567
7.309,0.0,5.032,1.307,6.577
7.32,0.0,5.032,1.308,6.582
7.332,0.0,5.032,1.307,6.577
7.343,0.0,5.028,1.308,6.577
7.354,0.0,5.028,1.309,6.582
7.366,0.0,5.028,1.308,6.577
7.378,0.0,5.032,1.309,6.587
7.388,0.0,5.032,1.307,6.577
7.4,0.0,5.032,1.307,6.577
7.411,0.0,5.032,1.308,6.582
7.422,0.0,5.028,1.306,6.567
7.433,0.0,5.032,1.308,6.582
7.445,0.0,5.032,1.307,6.577
7.456,0.0,5.032,1.305,6.567
7.467,0.0,5.028,1.305,6.562
7.484,0.0,5.028,1.308,6.577
7.495,0.0,5.032,1.307,6.577
7.506,0.0,5.028,1.307,6.572
7.518,0.0,5.028,1.306,6.567
7.528,0.0,5.032,1.308,6.582
7.54,0.0,5.032,1.307,6.577
7.553,0.0,5.028,1.307,6.572
7.565,0.0,5.028,1.306,6.567
7.586,0.0,5.028,1.305,6.562
7.597,0.0,5.028,1.308,6.577
7.615,0.0,5.028,1.308,6.577
7.626,0.0,5.032,1.307,6.577
7.636,0.0,5.032,1.307,6.577
7.647,0.0,5.032,1.304,6.562
7.658,0.0,5.028,1.306,6.567
7.669,0.0,5.032,1.307,6.577
7.679,0.0,5.028,1.306,6.567
7.69,0.0,5.028,1.309,6.582
7.701,0.0,5.028,1.307,6.572
7.711,0.0,5.032,1.307,6.577
7.723,0.0,5.028,1.307,6.572
7.735,0.0,5.032,1.306,6.572
7.746,0.0,5.028,1.306,6.567
7.757,0.0,5.032,1.306,6.572
7.769,0.0,5.028,1.307,6.572
7.781,0.0,5.032,1.307,6.577
7.792,0.0,5.032,1.307,6.577
7.804,0.0,5.032,1.307,6.577
7.815,0.0,5.032,1.308,6.582
7.825,0.0,5.032,1.307,6.577
7.843,0.0,5.028,1.307,6.572
7.853,0.0,5.028,1.306,6.567
7.863,0.0,5.036,1.307,6.582
7.873,0.0,5.028,1.307,6.572
7.883,0.0,5.032,1.307,6.577
7.893,0.0,5.028,1.308,6.577
7.904,0.0,5.032,1.307,6.577
7.915,0.0,5.032,1.307,6.577
7.925,0.0,5.032,1.308,6.582
7.937,0.0,5.028,1.307,6.572
7.948,0.0,5.032,1.307,6.577
7.959,0.0,5.028,1.307,6.572
7.97,0.0,5.032,1.307,6.577
